prdtName,Brand,url,rating-info,price,ingredients,skin_type,amount,type
Beauty of Joseon Relief Sun: Rice + Probiotics (SPF50+ PA++++) Double Pack 50mL*2ea,Beauty of Joseon,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265,4.9,US$25.99,"Water, Oryza Sativa (Rice) Extract, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Niacinamide, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Coco-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, Butylene Glycol, Oryza Sativa (Rice) Germ Extract, Camellia Sinensis Leaf Extract, Lactobacillus/Pumpkin Ferment Extract, Bacillus/Soybean Ferment Extract, Saccharum Officinarum (Sugarcane) Extract, Macrocystis Pyrifera (Kelp) Extract, Cocos Nucifera(Coconut) Fruit Extract, Panax Ginseng Root Extract, Camellia Sinensis Leaf Extract, Monascus/Rice Ferment, Pentylene Glycol, Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Tromethamine, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, 1,2-Hexanediol, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Adenosine, Xanthan Gum, Tocopherol, Lactobacillus/Rice Ferment, Aspergillus Ferment, Saccharomyces/Rice Ferment Filtrate Extract",For all skin types,50mL*2ea,Face Sunscreen
SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50mL*2ea (Twin pack),SKIN1004,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746,4.9,US$23.80,"Water, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Niacinamide, Coco-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, 1,2-Hexanediol, Butylene Glycol, Centella Asiatica Extract (9800ppm), Betula Platyphylla Japonica Bark Extract, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Triticum Vulgare (Wheat) Sprout Extract, Medicago Sativa (Alfalfa) Extract, Brassica Oleracea Italica (Broccoli) Sprout Extract, Eruca Sativa Leaf Extract, Camellia Japonica Leaf Extract, Sodium Hyaluronate (10ppm), Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Tromethamine, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Adenosine, Xanthan Gum, t-Butyl Alcohol, Tocopherol, Hydrolyzed Hyaluronic Acid (1ppm), Inositol, Hyaluronic Acid (0.01ppm), Pentylene Glycol, Ethylhexylglycerin",For all skin types,50ml*2ea,Face Sunscreen
[TRIPLE] ROUND LAB Birch Juice Moisturizing Sunscreen 50ml Triple Set,ROUND LAB,https://global.oliveyoung.com/product/detail?prdtNo=GA250430113,4.9,US$48.00,"[ROUND LAB Birch Juice Moisturizing Sunscreen 50ml]
Water, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Niacinamide, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Coco-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, 1,2-Hexanediol, Butylene Glycol, Betula Platyphylla Japonica Juice (1,425ppm), Sodium Hyaluronate, Hyaluronic Acid, Glyceryl Glucoside, Dipotassium Glycyrrhizate, Allantoin, Portulaca Oleracea Extract, Artemisia Annua Extract, Pinus Sylvestris Leaf Oil, Anthemis Nobilis Flower Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Ascorbic Acid, Adenosine, Pentylene Glycol, Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Tromethamine, Xanthan Gum, t-Butyl Alcohol, Tocopherol, Carbomer

[ROUND LAB Camellia Deep Collagen Sun Serum 1.5ml Pouch]
Water, Propanediol, Butylene Glycol, Ethylhexyl Triazone, Terephthalylidene Dicamphor Sulfonic Acid, Dibutyl Adipate, Diisopropyl Adipate, Hydrogenated Polyisobutene, C12-15 Alkyl Benzoate, Niacinamide, Tromethamine, C11-13 Alkane, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Methyl Trimethicone, Polymethylsilsesquioxane, Polysilicone-15, Silica, Pentylene Glycol, Hydroxyethyl Urea, Cetearyl Olivate, C13-16 Isoalkane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Poly C10-30 Alkyl Acrylate, Sorbitan Olivate, Behenyl Alcohol, Hydroxyacetophenone, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Polyacryloyldimethyl Taurate, Dimethiconol, Arginine, Dehydroxanthan Gum Glyceryl Stearate, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Methylpropanediol, Polyether-1, Polyacrylate Crosspolymer-6, Adenosine, Cyanocobalamin, Caprylic/Capric Triglyceride, Dimethyl Isosorbide, Octadecane, Lactic Acid/Glycolic Acid Copolymer, Camellia Japonica Flower Extract, Hydroxypinacolone Retinoate, Glycerin, Hydrolyzed Collagen, Inositol, Soluble Collagen, Caprylyl Glycol, Ethylhexylglycerin, Quercetin, 1,2-Hexanediol, Carbomer, Xanthan Gum",For all skin types,50ml+50ml+50ml,Face Sunscreen
Beauty of Joseon Relief Sun Aqua Fresh Rice+B5 50ml*2ea,Beauty of Joseon,https://global.oliveyoung.com/product/detail?prdtNo=GA241227407,4.9,US$25.99,"Water, Oryza Sativa (Rice) Seed Water, Dibutyl Adipate, Butyloctyl Salicylate, Ethylhexyl Triazone, Drometrizole Trisiloxane, Polyglyceryl-3 Distearate, Terephthalylidene Dicamphor Sulfonic Acid, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Tromethamine, 1,2-Hexanediol, Panthenol, Pentylene Glycol, Glyceryl Stearate, Silica, Caprylyl Methicone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Propanediol, Potassium Cetyl Phosphate, Poly C10-30 Alkyl Acrylate, Methylpropanediol, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Xanthan Gum, Glycerin, Polyether-1, Avena Sativa (Oat) Kernel Extract, Cynara Scolymus (Artichoke) Leaf Extract, Polyquaternium-51, Camellia Sinensis Leaf Water, Hydrogenated Lecithin, Beta-Glucan, Biosaccharide Gum-1, Inositol, Tocopherol, Ferulic Acid, Oryza Sativa (Rice) Bran Oil, Citric Acid, Ceramide NP, Phytosphingosine, Sodium Hyaluronate, Rice Amino Acids, Rice sh-Oligopeptide-1",For all hair types,50ml * 2,Face Sunscreen
d'Alba Waterful Tone Up Sun Cream Purple 50mL Duo Set,d'Alba,https://global.oliveyoung.com/product/detail?prdtNo=GA240222109,4.7,US$41.30,"Water, Propanediol, Butyloctyl Salicylate, Titanium Dioxide, Dibutyl Adipate, Dicaprylyl Carbonate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polysilicone-15, Niacinamide, Diisopropyl Sebacate, Diphenylsiloxy Phenyl Trimethicone, 2,3-Butanediol, Ethylhexyl Triazone, 1,2-Hexanediol, Pentylene Glycol, Tuber Magnatum Extract, Tocopherol, Coccinia Indica Fruit Extract, Eclipta Prostrata Extract, Stellaria Media (Chickweed) Extract, Portulaca Oleracea Extract, Houttuynia Cordata Extract, Lavandula Angustifolia (Lavender) Flower Extract, Adansonia Digitata Leaf Extract, Centella Asiatica Extract, Buddleja Davidii Extract, Olea Europaea (Olive) Leaf Extract, Thymus Vulgaris (Thyme) Extract, Citrus Aurantium Dulcis (Orange) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Litsea Cubeba Fruit Oil, Salvia Officinalis (Sage) Leaf Water, Centaurea Cyanus Flower Water, Butylene Glycol, Polymethylsilsesquioxane, Coco-Caprylate/Caprate, Methylpropanediol, VP/Eicosene Copolymer, Polyglyceryl-2 Caprate, Glycerin, Polyhydroxystearic Acid, Sucrose Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyacrylate Crosspolymer-6, Inulin Lauryl Carbamate, Hydroxypropyl Methylcellulose Stearoxy Ether, Stearic Acid, Ethylhexylglycerin, Alumina, Glyceryl Caprylate, Aluminum Hydroxide, Triethoxycaprylylsilane, Xanthan Gum, Adenosine, Squalane, Polyether-1, Lactobacillus Ferment, Glutathione, Allantoin, Panthenol, Caesalpinia Spinosa Gum, Biosaccharide Gum-1, Hydrolyzed Hyaluronic Acid, Maltodextrin, Wine, Ultramarines, Limonene",For all skin types,50mL+50mL,Face Sunscreen
ROUND LAB Birch Juice Moisturizing Sun Stick 19g Double Set,ROUND LAB,https://global.oliveyoung.com/product/detail?prdtNo=GA240322554,4.8,US$27.99,"Water, Coco-Caprylate/Caprate, Dibutyl Adipate, Synthetic Wax, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Butylene Glycol, Ethylhexyl Triazone, Ozokerite, Niacinamide, Vinyl Dimethicone, Polysilicone-15, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Adansonia Digitata Seed Extract (1,045ppm), Glyceryl Glucoside, Glycerin, Laminaria Japonica Extract, Ulmus Davidiana Root Extract, Aloe Barbadensis Leaf Extract, Viola Mandshurica Flower Extract, Dioscorea Japonica Root Extract, Hyaluronic Acid, Ascorbic Acid, Sodium Hyaluronate, Portulaca Oleracea Extract, Dipotassium Glycyrrhizate, Allantoin, Nonapeptide-1, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Acetyl Hexapeptide-8, Copper Tripeptide-1, Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Palmitoyl Pentapeptide-4, Palmitoyl Hexapeptide-12, Pentapeptide-3, Hexapeptide-9, Adenosine, Ethylhexylglycerin, Polyglyceryl-5 Polyricinoleate, Glyceryl Caprylate, Caprylyl Glycol, Oryza Sativa (Rice) Bran Oil, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Sodium Chloride, 1,2-Hexanediol, Tocopherol",For all skin types,19g * 2ea,Face Sunscreen
d'Alba Waterfull Tone-Up Sun Cream Duo Set (50mL+50mL),d'Alba,https://global.oliveyoung.com/product/detail?prdtNo=GA220414400,4.7,US$59.00,"Water, Dibutyl Adipate, Propanediol, Titanium Dioxide, Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Caprylyl Methicone, Ethylhexyl Triazone, Niacinamide, Glycerine, Diethylhexyl Butamido Triazone, 1,2-Hexanediol, Pentylene Glycol, Portulaca Oleracea Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Rhododendron Ferrugineum Extract Centella Asiatica Extract, Prunus Persica (Peach) Flower Extract, Prunus Persica (Peach) Fruit Extract, Prunus Serrulata Flower Extract, Aloe Barbadensis Leaf Extract, Houttuynia Cordata Extract, Tuber Magnatum Extract, Citrus Aurantium Dulcis (Orange) Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Sodium Hyaluronate, Litsea Cubeba Fruit Oil, Rosa Damascena Flower Water, Betula Platyphylla Japonica Juice, Panthenol, Polyhydroxystearic Acid, Dimethicone/Vinyl Dimethicone Crosspolymer, VP/Eicosene Copolymer, Dimethiconol, Trisiloxane, Coco-Caprylate/Caprate, Stearic Acid, Sodium Polyacryloyldimethyl Taurate, Ammonium Polyacryloyldimethyl Taurate, Alumina, Hydroxypropyl Methylcellulose Stearoxy Ether, Dicaprylyl Carbonate, Xanthan Gum, Ethylhexylglycerin, Adenosine, Sodium Polyacrylate, Triethoxycaprylylsilane, t-Butyl Alcohol, PVM/MA Copolymer, Polyether-1, Hydrolyzed Hyaluronic Acid, Allantoin, Butylene Glycol, Tocopherol, Disodium Phosphate, Citric Acid, Caprylyl Glycol, Iron Oxide Yellow, Iron Oxide Red, Limonene, Citral",For all skin types,50ml+50ml,Face Sunscreen
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN 50ml Set,ROUND LAB,https://global.oliveyoung.com/product/detail?prdtNo=GA210004685,4.8,US$20.28,"Water, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Niacinamide, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Cocoa-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, 1,2-Hexanediol, Butylene Glycol, Birch Sap (1,425ppm), Sodium Hyaluronate, Hyaluronic Acid, Glyceryl Glucoside, Dipotassium Glycyrrhizate, Allantoin, Portulaca Oleracea Extract, Artemisia Annua Extract, Pinus Sylvestris Leaf Extract, Anthemis Nobilis (Chamomile) Flower Oil, Acrylate/C10-30 Alkyl Acrylate Crosspolymer, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Ascorbic Acid, Adenosine, Pentylene Glycol, Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Tromethamine, Xanthan Gum, t-Butyl Alcohol, Tocopherol, Carbomer",For all skin types,[Main] Birch Juice Moisturizing Sun Cream 50ml + [Free Gift] Birch Juice Moisturizing Cleanser 20ml,Face Sunscreen
SKIN1004 Perfect Suncare Kit (Sun serum 50ml+Sun stick 20g+Cleansing oil 30ml+Cleansing Foam 20ml),SKIN1004,https://global.oliveyoung.com/product/detail?prdtNo=GA241126581,4.9,US$24.60,"[ Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50ml]
Water, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Niacinamide, Coco-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, 1,2-Hexanediol, Butylene Glycol, Centella Asiatica Extract (9800ppm), Betula Platyphylla Japonica Bark Extract, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Triticum Vulgare (Wheat) Sprout Extract, Medicago Sativa (Alfalfa) Extract, Brassica Oleracea Italica (Broccoli) Sprout Extract, Eruca Sativa Leaf Extract, Camellia Japonica Leaf Extract, Sodium Hyaluronate (10ppm), Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Tromethamine, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Adenosine, Xanthan Gum, t-Butyl Alcohol, Tocopherol, Hydrolyzed Hyaluronic Acid (1ppm), Inositol, Hyaluronic Acid (0.01ppm), Pentylene Glycol, Ethylhexylglycerin

[Madagascar Centella Hyalu-Cica Silky-Fit Sun Stick 20g]
Methyl Methacrylate Crosspolymer, Synthetic Wax, Coco-Caprylate/Caprate, Cetyl Ethylhexanoate, Butylene Glycol Dicaprylate/Dicaprate, Dibutyl Adipate, Butyloctyl Salicylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Silica, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dicaprylyl Carbonate, Isopropyl Palmitate, Ethylhexyl Triazone, Tocopheryl Acetate, Diethylhexyl 2,6-Naphthalate, Vinyl Dimethicone, Polysilicone-15, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ozokerite, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Ocimum Sanctum Leaf Extract, Centella Asiatica Extract (0.98ppm), Agave Tequilana Leaf Extract, Diospyros Kaki Leaf Extract, Camellia Sinensis Leaf Extract, Castanea Crenata (Chestnut) Shell Extract, Carthamus Tinctorius (Safflower) Flower Extract, Zanthoxylum Piperitum Fruit Extract, Coffea Arabica (Coffee) Seed Extract, Vitis Vinifera (Grape) Fruit Extract, Polygonum Cuspidatum Root Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Hyaluronate (1ppm), (-)-alpha-bisabolol, Glyceryl Caprylate, Caprylyl Glycol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Ethylhexylglycerin, Water, Hydrolyzed Hyaluronic Acid (1ppm), Butylene Glycol, 1,2-Hexanediol, Glycerin, Hyaluronic Acid (0.01ppm)

[Madagascar Centella Light Cleansing Oil 30ml]
Ethylhexyl Stearate, Cetyl Ethylhexanoate, Sorbeth-30 Tetraoleate, Centella Asiatica Extract (10,000ppm), Helianthus Annuus (Sunflower) Seed Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Ethylhexylglycerin, Pelargonium Graveolens Flower Oil, Rosa Damascena Flower Oil, Limonene, Linalool

[Madagascar Centella Ampoule Foam 20ml]
Centella Asiatica Extract (33%), Sodium Cocoyl Isethionate, Glycerin, Water, Sodium Methyl Cocoyl Taurate, Coco-Betaine, Potassium Cocoyl Glycinate, 1,2-Hexanediol, Sodium Chloride, Potassium Cocoate, Potassium Benzoate, Polyquaternium-67, Citric Acid, Dextrin, Sodium Bicarbonate, Theobroma Cacao (Cocoa) Extract, Disodium EDTA, Sodium Acetate, Butylene Glycol, Coptis Chinensis Root Extract, Sodium Hyaluronate, Eclipta Prostrata Extract, Coccinia Indica Fruit Extract",For all skin types,218g,Face Sunscreen
Dr.G Red Blemish Soothing Up Sun 50mL 1+1 Special Set,Dr.G,https://global.oliveyoung.com/product/detail?prdtNo=GA240222102,4.7,US$21.84,"Water, Dibutyl Adipate, Propanediol, Ethylhexyl Triazone, Terephthalylidene Dicamphor Sulfonic Acid, Niacinamide, Octyldodecanol, Tromethamine, Polyglyceryl-3 Distearate, Cetearyl Alcohol, Panthenol, 1,2-Hexanediol, Pentylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Caprylyl Methicone, Polysilicone-15, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Houttuynia Cordata Extract, Morinda Citrifolia Fruit Extract, Artemisia Princeps Leaf Extract, Centella Asiatica Flower/Leaf/Stem Extract, Cynara Scolymus (Artichoke) Leaf Extract, Centella Asiatica Root Extract, Centella Asiatica Leaf Extract, Centella Asiatica Extract, Prunus Persica (Peach) Flower Extract, Nasturtium Officinale Extract, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract, Buddleja Officinalis Flower Extract, Pinus Pinaster Bark Extract, Echium Plantagineum Seed Oil, Polymethylsilsesquioxane, Glyceryl Stearate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Potassium Cetyl Phosphate, Methylpropanediol, Carbomer, Glyceryl Stearate Citrate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Adenosine, Butylene Glycol, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Polyether-1, Tocopherol, Biosaccharide Gum-1, Saccharomyces Ferment, 7-Dehydrocholesterol, Ectoin, Asiaticoside, Madecassoside, Lactobacillus Ferment, Madecassic Acid, Asiatic Acid

2. Dr. G Red Blemish Soothing Up Sun 20mL (Special Gift)
Water, Dibutyl Adipate, Propanediol, Ethylhexyl Triazone, Terephthalylidene Dicamphor Sulfonic Acid, Niacinamide, Octyldodecanol, Tromethamine, Polyglyceryl-3 Distearate, Cetearyl Alcohol, Panthenol, 1,2-Hexanediol, Pentylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Caprylyl Methicone, Polysilicone-15, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Houttuynia Cordata Extract, Morinda Citrifolia Fruit Extract, Artemisia Princeps Leaf Extract, Centella Asiatica Flower/Leaf/Stem Extract, Cynara Scolymus (Artichoke) Leaf Extract, Centella Asiatica Root Extract, Centella Asiatica Leaf Extract, Centella Asiatica Extract, Prunus Persica (Peach) Flower Extract, Nasturtium Officinale Extract, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract, Buddleja Officinalis Flower Extract, Pinus Pinaster Bark Extract, Echium Plantagineum Seed Oil, Polymethylsilsesquioxane, Glyceryl Stearate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Potassium Cetyl Phosphate, Methylpropanediol, Carbomer, Glyceryl Stearate Citrate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Adenosine, Butylene Glycol, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Polyether-1, Tocopherol, Biosaccharide Gum-1, Saccharomyces Ferment, 7-Dehydrocholesterol, Ectoin, Asiaticoside, Madecassoside, Lactobacillus Ferment, Madecassic Acid, Asiatic Acid",For all skin types,50mL+50mL,Face Sunscreen
